Language,Case,Case comment,default,Morphological,Noun type,Noun class,Number,Conditioning,Form,form_add,form_replace,form_delete,Prosodic form,prosody_clean,prosody_stress,prosody_tone,prosody_vowel_lengthening,Epenthesis,Intonation,Function,Optional,Reference,Notes,Quotes,Need_checking,Exclude
Lezgian,ergative,not considered an affix but a different stem,,yes,Personal names,,,C_,-a,-a,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,"Abstract nouns derived by -wal, all plural nouns (except for -bur)",,,,-i,-i,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,Plurals in -bur,,,,-u,-u,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,non-discrete mass,,,,-edi,-edi,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,monosyllabic denoting animals,,,,-re,-re,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,monosyllabic denoting animals,,,,-ra,-ra,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,rest,,,,-ʊni,-ʊni,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,non-discrete mass,,,,-adi,-adi,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,rest,,,,-ɑ,-ɑ,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,rest,,,,-ʊ,-ʊ,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,rest,,,,-tsi,-tsi,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,rest,,,,-ts'i,-ts'i,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,rest,,,,-tʃi,-tʃi,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,rest,,,,-tʃ'i,-tʃ'i,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,,yes,rest,,,,-dʒi,-dʒi,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,vocative,,,particle,,,,,ja-,ja-,,,,,,,,,,,,Haspelmath 1993: 57,,,,
Limbu,absolutive,,,yes,indef,,,,zero,zero,,,,,,,,,,,,Driem 1987,,,,
Limbu,absolutive,,,yes,definite,,,,-?in,-ʔin,,,,,,,,,,,,,,,,
Limbu,ergative,,,yes,indef,,,"{ʔ,k,t,p,b,m,n,N}_",-le,-le,,,,,,,,,,,,Driem 1987,,,,
Limbu,ergative,,,yes,indef,,,"{ʔ,k,t,p,b,m,n,N}_",-re,-re,,,,,,,,,,,,,,,,
Limbu,ergative,,,yes,indef,,,_V,-lle,-lle,,,,,,,,,,,,Driem 1987,,,,
Limbu,vocative,,,yes,,,sg,,-e,-e,,,half-long,1,,,1,,,,,Driem 1987,"unusual form when vowel adjacent, other adjacent vowels are separated by glottal stop; preceding nasal might be doubled",,,
Limbu,vocative,,,yes,,,pl,,-se,-se,,,half-long,1,,,1,,,,,Driem 1987,"unusual form when vowel adjacent, other adjacent vowels are separated by glottal stop; preceding nasal might be doubled",,,
Limbu,vocative,,,yes,,,pl,,-re,-re,,,half-long,1,,,1,,,,,Driem 1987,,,,
Maithili,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Yadav 1996,,,,
Maithili,accusative/dative,,,particle,,,,,ke/ke~,-ke,,,,,,,,,,,,Yadav 1996,,,,
Maithili,accusative/dative,,,particle,,,,,ke/ke~,-kẽ,,,,,,,,,,,,Yadav 1996,,,,
Maithili,accusative/dative,,,particle,"animals, proper names of places, animate common nouns, inanimate object nouns, etc. (complicated, interacts with determiner etc.",,,,zero,zero,,,,,,,,,,,,Yadav 1996,,,,
Maithili,vocative,sentence initial,,particle,,,,,"y@u,",jəu-,,,,,,,,,,,,Yadav 1996,men to men,,,
Maithili,vocative,sentence initial,,particle,,,,,"{, h{, g{",æ-,,,,,,,,,,,,Yadav 1996,to women,,,
Maithili,vocative,sentence initial,,particle,,,,,"{, h{, g{",hæ-,,,,,,,,,,,,Yadav 1996,to women,,,
Maithili,vocative,sentence initial,,particle,,,,,"{, h{, g{",gæ-,,,,,,,,,,,,Yadav 1996,to women,,,
Maithili,vocative,sentence initial,,particle,,,,,"{,  h@u, r@u",æ-,,,,,,,,,,,,Yadav 1996,women to men,,,
Maithili,vocative,sentence initial,,particle,,,,,"{,  h@u, r@u",hæu-,,,,,,,,,,,,Yadav 1996,women to men,,,
Maithili,vocative,sentence initial,,particle,,,,,"{,  h@u, r@u",ræu-,,,,,,,,,,,,Yadav 1996,women to men,,,
Malayalam,accusative,,,yes,,,,,-e,,,,,,,,,,,,,Asher & Kumari (1997),,,,
Malayalam,nominative,,,yes,,,,,zero,,,,,,,,,,,,,Asher & Kumari (1997),,,,
Malayalam,vocative,,1,yes,,,,,-e:,-ee,,,,,,,,,,,,Asher & Kumari (1997),,,,
Malayalam,vocative,,,yes,,,,-an,an# -> a:#,,aa,,final lengthening,1,,,1,,,,,Asher & Kumari (1997),,,,
Malayalam,vocative,,,yes,,,,-i,i# -> i:# ,zero,,,final lengthening,1,,,1,,,,,Asher & Kumari (1997),,,,
Malayalam,vocative,,,yes,,,,-u,u# -> u:#,zero,,,final lengthening,1,,,1,,,,,Asher & Kumari (1997),,,,
Malayalam,vocative,,,yes,,,,-am,am# -> am:#,zero,,,final lengthening,1,,,1,,,,,Asher & Kumari (1997),,,,
Maltese,object marker,,,particle,"restricted in various ways, e.g. only precedes animate direct objects OR indirect objects that are not place nominals",,,,lil ## _,lil-,,,,,,,,,,,,Borg & Azzopardi-Alexander (1997),"also referred to as a particle that marks ""exclamation sentences""",,,
Maltese,vocative,,,particle,descriptive expression,,,,aa ## _,aa-,,,,,,,,,,,,Borg & Azzopardi-Alexander (1997),"also referred to as a particle that marks ""exclamation sentences""",,,
Manambu,accusative,,,yes,,,,,-a:m,-aam,,,,,,,,,,,,Aikhenwald 2008,,,,
Manambu,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Aikhenwald 2008,,,,
Manambu,vocative,,,yes,,,,,"-a, -@:j, -aj ",-a,,,"schwa --> E:, final syllable undergoes lengthening, stress moves to last syllable, ""slight rise on the last syllable""",1,1,1,1,,"""slight rise on the last syllable""",addressing,,Aikhenwald 2008,,"""Vocatives never form part of a clause, and are separatedfrom the clause by a pause""",,
Manambu,vocative,,,yes,,,,,,-əəj,,,"schwa --> E:, final syllable undergoes lengthening, stress moves to last syllable, ""slight rise on the last syllable""",1,1,1,1,,"""slight rise on the last syllable""",addressing,,Aikhenwald 2008,,"""Vocatives never form part of a clause, and are separatedfrom the clause by a pause""",,
Manambu,vocative,,,yes,,,,,,-aj,,,"schwa --> E:, final syllable undergoes lengthening, stress moves to last syllable, ""slight rise on the last syllable""",1,1,1,1,,"""slight rise on the last syllable""",addressing,,Aikhenwald 2008,,"""Vocatives never form part of a clause, and are separatedfrom the clause by a pause""",,
Mangarayi,absolutive,,,yes,,n,,n,zero,zero,,,,,,,,,,,,Merlan 1982: 56f.,,,,
Mangarayi,accusative,,,yes,,f,,f,Nan-,ŋan-,,,,,,,,,,,,Merlan 1982: 56f.,,,,
Mangarayi,accusative,,,yes,,m,,m,zero,zero,,,,,,,,,,,,Merlan 1982: 56f.,,,,
Mangarayi,ergative,,,yes,,n,,n,na-,na-,,,,,,,,,,,,Merlan 1982: 56f.,,,,
Mangarayi,nominative,,,yes,,f,,f,Nala-,ŋala-,,,,,,,,,,,,Merlan 1982: 56f.,,,,
Mangarayi,nominative,,,yes,,m,,m,na-,na-,,,,,,,,,,,,Merlan 1982: 56f.,,,,
Mangarayi,vocative,,,yes,,,,V_,-y,-j,,,"diphtongization, lengthening, rise-fall in pitch",1,,1,1,,rise-fall in pitch,"emphatic, calling out",,Merlan 1982: 77,,,,
Mangarayi,vocative,,,yes,,,,,zero,zero,,,,,,,,,,,,Merlan 1982: 77,,,,
Mani,vocative,,,particle,,,,,-yo/ye/o/e,-jo,,,"final syllable lengthening, final H tone",1,,1,1,,,"addressing, calling",,Tucker Childs 2011,"There is also a vocative contour. The last syllable is lengthened and associated with a sustained final H, much like a raised register (p. 51)",,,
Mani,vocative,,,particle,,,,,,-je,,,"final syllable lengthening, final H tone",1,,1,1,,,"addressing, calling",,Tucker Childs 2012,"There is also a vocative contour. The last syllable is lengthened and associated with a sustained final H, much like a raised register (p. 51)",,,
Mani,vocative,,,particle,,,,,,-e,,,"final syllable lengthening, final H tone",1,,1,1,,,"addressing, calling",,Tucker Childs 2013,"There is also a vocative contour. The last syllable is lengthened and associated with a sustained final H, much like a raised register (p. 51)",,,
Mani,vocative,,,particle,,,,,,-o,,,"final syllable lengthening, final H tone",1,,1,1,,,"addressing, calling",,Tucker Childs 2014,"There is also a vocative contour. The last syllable is lengthened and associated with a sustained final H, much like a raised register (p. 51)",,,
Maori,accusative,,,particle,,,,,i ## _,i-,,,,,,,,,,,,Bauer et al. (1993),free variation with ki,,,
Maori,accusative,,,particle,,,,,ki ## _,ki-,,,,,,,,,,,,Bauer et al. (1993),,,,
Maori,nominative,,,particle,,,,,zero,zero,,,,,,,,,,,,Bauer et al. (1993),,,,
Maori,vocative,,,particle,,,,,e ## __,e-,,,,,,,,,,,,Bauer et al. (1993),"obligatory with proper names opf two morae or less, optional elsewhere",,,
Marathi,accusative,,,yes,,m,singular,,a:la:,-aalaa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,accusative,,,yes,,m,plural,,ã:nna:,-ããnnaa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,accusative,,,yes,,f,singular,,ela:,-elaa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,accusative,,,yes,,f,plural,,ã:nna:,-ããnnaa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,accusative,,,yes,,neuter,singular,,a:la:,-aalaa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,accusative,,,yes,,neuter,plural,,ã:nna:,-ããnnaa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,nominative,,,yes,,m,singular,,zero,zero,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,nominative,,,yes,,m,plural,,zero,zero,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,nominative,,,yes,,f,singular,,zero,zero,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,nominative,,,yes,,f,plural,,a:,-aa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,nominative,,,yes,,neuter,singular,,zero,zero,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,nominative,,,yes,,neuter,plural,,a/e,-a,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,nominative,,,yes,,neuter,plural,,a/e,-e,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,vocative,,,yes,,m,singular,,a:,-aa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,vocative,,,yes,,m,plural,,ã:nno,-ããnno,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,vocative,,,yes,,f,singular,,i:,-ii,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,vocative,,,yes,,f,plural,,[nasal i]nno,-ĩnno,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,vocative,,,yes,,neuter,singular,,a:,-aa,,,,,,,,,,,,Pandharipande 1997,,,,
Marathi,vocative,,,yes,,neuter,plural,,ã:nno,-ããnno,,,,,,,,,,,,Pandharipande 1997,,,,
Meithei,accusative,controversial,,yes,,,,,-pu,-pu,,,,,,,,,,,,Chelliah (1997),,,,
Meithei,nominative,controversial,,yes,,,,,-n@,-nə,,,,,,,,,,,,Chelliah (1997),,,,
Meithei,vocative,archaic,,yes,,,,,-sa,-sa,,,,,,,,,,,,Pettigrew (1912: 14),,,,
Mongsen Ao,agentive,not clear,,particle,,,,,n@,-nə,,,carries mid tone,1,,1,,,,,,Coupe 2011: 171,,,,
Mongsen Ao,vocative,prefix,,yes,,,,,a-,a-,,,,,,,,,,"addressing, calling",,Coupe 2011,,,,
Murui,accusative,,,yes,,,,,zero,zero,,,,,,,,,,,,Wojtylak 2017,,,,
Murui,accusative,,,yes,,,,,-na,-na,,,,,,,,,,,,Wojtylak 2017,,,,
Murui,accusative,,,yes,,,,,-mo,-mo,,,,,,,,,,,,Wojtylak 2017,,,,
Murui,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Wojtylak 2017,,,,
Murui,nominative,,,yes,,,,,-dɨ,-dɨ,,,,,,,,,,,,Wojtylak 2017,,,,
Ngiti,vocative,,,prosodic,,,,,,zero,,,add final H tone,1,,1,,,,,,Lojenga 1994,,,,
Murui,vocative,,,deletion,kinship term,,,,omitting otherwise obligatory animate classifier,,,-aɨ,,,,,,,,,,Wojtylak 2017,,,,
Murui,vocative,,,deletion,kinship term,,,,omitting otherwise obligatory animate classifier,,,-nɨaɨ,,,,,,,,,,Wojtylak 2017,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,deletion,,,,,"word form is changed ""shortening of a term of reference, often by deleting the last syllable or the last consonant""",,,C#,,,,,,,,,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,deletion,,,,,"word form is changed ""shortening of a term of reference, often by deleting the last syllable or the last consonant""",,,CV#,,,,,,,,,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,I pl,-idig,-idig,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,II pl,-dig,-dig,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,III pl,-widig,-widig,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,IV pl,-odig,-odig,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,V pl,-iidig,-iidig,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,I pl,-idog,-idog,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,II pl,-dog,-dog,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,III pl,-widog,-widog,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,IV pl,-odog,-odog,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Nishnaabemwin (Ottawa),vocative,no morphological case,,yes,,,,V pl,-iidog,-iidog,,,,,,,,,,fomal address,,Valentine 2001: 205f.,,,,
Palula,ergative,,,yes,,,,,-a/-i,-a,,,,,,,,,,,,Liljegren 2016,"not an accusative in the traditional sense, its called oblique here",,,
Palula,ergative,,,yes,,,,,-a/-i,-i,,,,,,,,,,,,Liljegren 2016,"not an accusative in the traditional sense, its called oblique here",,,
Palula,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Liljegren 2016,,,,
Palula,vocative,,,deletion,subset of kindship terms,,,i_,deletion of gender signalling affix -i or -u,,,i,,,,,,,,,,Liljegren 2016,,,,
Palula,vocative,,,deletion,subset of kindship terms,,,u_,deletion of gender signalling affix -i or -u,,,u,,,,,,,,,,Liljegren 2016,,,,
Puyuma,nominative,,,yes,"common noun, indef",,,,a-,a-,,,,,,,,,,,,Fang-Ching Teng 2007,,,,
Puyuma,nominative,,,yes,"common noun, def",,,,na-,na-,,,,,,,,,,,,Fang-Ching Teng 2007,,,,
Puyuma,nominative,,,yes,common noun,,sg,,i-,i-,,,,,,,,,,,,Fang-Ching Teng 2007,,,,
Puyuma,nominative,,,yes,common noun,,pl,,na-,na-,,,,,,,,,,,,Fang-Ching Teng 2007,,,,
Puyuma,oblique,,,yes,"common noun, indef",,,,d´a-,d´a-,,,,,,,,,,,,Fang-Ching Teng 2007,,,,
Puyuma,oblique,,,yes,"common noun, def",,,,kana-,kana-,,,,,,,,,,,,Fang-Ching Teng 2007,,,,
Puyuma,oblique,,,yes,personal noun,,sg,,kan-,kan-,,,,,,,,,,,,Fang-Ching Teng 2007,,,,
Puyuma,oblique,,,yes,personal noun,,pl,,kana-,kana-,,,,,,,,,,,,Fang-Ching Teng 2007,,,,
Puyuma,vocative,,,clitic,name / kinship term,,,, =a,-a,,,,,,,,,,"calling, get someones attention",,Fang-Ching Teng 2007,,,,
Rapa Nui,vocative,,,particle,,,,,e REFERENT e:,e--ee,,,,,,,,,,,,Kieviet 2017,final e: also used to indicate other continuation functions,,,
"rGyalrong, Jiaomuzu",ergative,,,yes,,,,,-k@,-kə,,,,,,,,,,,,Prins (2016),,,,
"rGyalrong, Jiaomuzu",vocative,,,yes,,,,ta_,a-,,a-,,,,,,,,,,,Prins (2016),replacing nominal prefix ta-,,,
Salako (Kendayan),vocative,,,yes,person,,,,-ɔ,-ɔ,,,,,,,,,,,,Adelaar (2005),,,,
Samoan,absolutive,,,yes,,,,,zero / ia (preposition),zero,,,,,,,,,,,,Mosel & Hovdhaugen 1993,,,,
Samoan,absolutive,,,particle,,,,,zero / ia (preposition),ia-,,,,,,,,,,,,,,,,
Samoan,ergative,,,particle,,,,,e (preposition),e-,,,,,,,,,,,,Mosel & Hovdhaugen 1992,,,,
Samoan,vocative,,,yes,"name, noun of address, few common noun",,,,-e,-e,,,,,,,,,,"calling, addressing, attracting attention",yes,Mosel & Hovdhaugen 1994,,"""In songs and speeches this suffic can be used as a rhythmical device or to draw attention to a noun"" (p. 193f.)",,
Seediq,nominative,,,particle,,,,,ka-,ka-,,,,,,,,,,,,Adelaar & Himmelmann (2005),,,,
Seediq,oblique,,,yes,"personal name, kinship term",,,,-an,-an,,,,,,,,,,,,Adelaar & Himmelmann (2005),,,,
Seediq,vocative,,,deletion,"personal name, kinship term",,,,keep last syllable of stem only (Masaw -> Saw),,,CV...-,,,,,,,,,,Adelaar & Himmelmann (2005),,,,
Sierra Popoluca,vocative,no case,,prosodic,,,,,,,,,stress shift to final syllable,1,1,,,,stress shift to final syllable,,,de Jong Boudreault 2009,,"""Finally, as shown in (2.144), stress falls on the nal syllable on words (usuallykinship) used as vocatives to call out to someone or to get someone's attention.""",,
Sindhi,accusative,"not an accusative in the traditional sense, its called oblique here",,yes,,m,sg,-V,change of stem-final vowel to -e,,-e,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,accusative,"not an accusative in the traditional sense, its called oblique here",,yes,,m,pl,-V,change of stem-final vowel to -@nl,,-enl,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,accusative,"not an accusative in the traditional sense, its called oblique here",,yes,,f,sg,-V,change of stem-final vowel to -@,,-e,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,accusative,"not an accusative in the traditional sense, its called oblique here",,yes,,f,pl,,zero,zero,,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,vocative,,,yes,,m,sg,u_,E:- / ar`E:- (Interjection) + change of stem-final vowel to -a,ɛɛ-,-a,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,"""Noun can also be in
vocative case without interjection prefix. For example
the word dosta
is used individually with half long or
long stress like dosta: also means O friend."" (Rahman 2009: 79)",,
Sindhi,vocative,,,yes,,m,pl,,E:- / ar`E:- (Interjection) + change of stem-final vowel to -O,arɛɛ-,-ɔ,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,vocative,,,yes,,m,sg,u_,E:- / ar`E:- (Interjection) + change of stem-final vowel to -a,ɛɛ-,-a,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,"""Noun can also be in
vocative case without interjection prefix. For example
the word dosta
is used individually with half long or
long stress like dosta: also means O friend."" (Rahman 2009: 79)",,
Sindhi,vocative,,,yes,,m,pl,,E:- / ar`E:- (Interjection) + change of stem-final vowel to -O,arɛɛ-,-ɔ,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,vocative,,,yes,,f,sg,,zero,zero,,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,vocative,,,yes,,f,pl,,zero,zero,,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,,,
Somali,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Saeed 1999:59–63,,,,
Somali,nominative,,,yes,,,,,zero,zero,,,tonal change,1,,1,,,,,,Saeed 1999:59–63,,,,
Somali,vocative,,,yes,name,f,sg,,-èey,-eej,,,,,,,,,,"""reflects degrees of solidarity and respect""",,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,name,f,sg,o_,-òoy,-ooj,,,,,,,,,,"""reflects degrees of solidarity and respect""",,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,name,f,sg,a_,-àay,-aaj,,,,,,,,,,"""reflects degrees of solidarity and respect""",,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,name,,,,-òw,-ow,,,,,,,,,,"""reflects degrees of solidarity and respect""",,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,other noun,f,sg,,-yahay,-jahaj,,,,,,,,,,,,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,other noun,,,,-yohow,-johow,,,,,,,,,,,,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,name,,,,zero,zero,,,tonal change,1,,1,,,,,,Saeed 1999:59–63,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Southern Pomo,accusative,"""Patient case""",,yes,,,sg,prefixed with 1.person possessive,-to,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,accusative,"""Patient case""",,yes,,,pl,prefixed with 1.person possessive,-j(a)-Son,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,accusative,"""Patient case""",,yes,,,sg,not prefixed with 1.person possessive,-(e)n,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,nominative,"""Agentive case""",,yes,,,sg,prefixed with 1.person possessive,-(e)n,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,nominative,"""Agentive case""",,yes,,,pl,prefixed with 1.person possessive,-jej,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,nominative,"""Agentive case""",,yes,,,sg,not prefixed with 1.person possessive,zero,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,vocative,,,deletion,proper noun,,,,drop feminine sufix (-men/?men) for vocative,,,-men,,,,,,,,,,Walker 2013,vocative kinship terms one of the few classes that have a final glottal stop,"""The vocative case in Southern Pomo is unique in three ways: (1) The formal vocative is the only corner of the language in which
disyllabic (or larger) words take no laryngeal increment.
(2) Vocative kinship terms (both formal and informal) are the only forms
which do not require a possessive prefix.
(3) Word-final glottal stops are only reported from some formal vocative
forms within the kinship terms.""",,
Southern Pomo,vocative,,,deletion,proper noun,,,,drop feminine sufix (-men/?men) for vocative,,,-ʔmen,,,,,,,,,,Walker 2013,,,,
Southern Pomo,vocative,,,yes,kinship term,,sg,,-eʔ,,,,no laryngeal increments,1,,,,,,,,Walker 2013,"check Kashaya Pomo (Oswalt 1961: 112), Northern Pomo O'Connor (1987: 159). phonetic alternations of it ||-eʔ|| -eʔ ~ -ʔ ~ -e ||-deʔ||
-deʔ ~ -de""",,,
Southern Pomo,vocative,,,yes,kinship term,,sg,,-deʔ,,,,no laryngeal increments,1,,,,,,,,Walker 2013,"check Kashaya Pomo (Oswalt 1961: 112), Northern Pomo O'Connor (1987: 159). phonetic alternations of it ||-eʔ|| -eʔ ~ -ʔ ~ -e ||-deʔ||
-deʔ ~ -de""",,,
Southern Pomo,vocative,,,yes,kinship term,,pl,prefixed with 1.person possessive,-jaʃo,,,,no laryngeal increments,1,,,,,,,,Walker 2013,phonetic alternations ||ja-So-|| -jaSo -jSo,,,
Sunwar,accusative,,,yes,,,,,-kali,-kali,,,,,,,,,,,,Borchers (2008),,,,
Sunwar,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Borchers (2008),,,,
Sunwar,vocative,,,yes,,,,,-au,-aw,,,,,,,,,,,,Borchers (2008),,,,
Tamil,accusative,,,yes,,,,,-ai,-aj,,,,,,,,,,,,Schiffman 2004,,,,
Tamil,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Schiffman 2004,"these are suffixes in ""Literary Tamil""; accusative is just -e in ""Spoken Tamil""",,,
Tamil,vocative,,,yes,,,,,-e:,-ee,,,,,,,,,,"addressing, calling",,Schiffman 2004,,,,
Tamil,vocative,,,yes,,,,,-a:,-aa,,,,,,,,,,"addressing, calling",,Schiffman 2004,,,,
Timucua,vocative,no case,,clitic,,,,,-lechu,-letʃu,,,,,,,,,,,,Granberry 1987,,,,
Toqabaqita,vocative,no case (but preverbal markers),,clitic,,,,,-?ae,-ʔæ,,,,,,,,,,"addressing, calling",,Lichtenberk 2008,,,,
Tukang Besi,"""nominative""","nominative is ""selected"" case, sth like topic etc. see Tagalog",,particle,,,,,na,na-,,,,,,,,,,,,Donohue 1999,,,,
Tukang Besi,non-nominative,,,particle,,,,,te,te-,,,,,,,,,,,,Donohue 1999,,,,
Tukang Besi,vocative,,,yes,,,,V_,-ó (replace final vowel),,-o,,accented,1,1,,,,,summon,,Donohue 1999,,,,
Turkish,accusative,,,yes,,,,V_,-ji,-ji,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,C_,-i,-i,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,V_,-ju,-ju,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,, C_,-u,-u,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,V_,-jy,-jy,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,C_,-y,-y,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,V_,-jɯ ,-jɯ ,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,C_,-ɯ,-ɯ,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,vocative,,,prosodic,,,,,,,,,stress on PU (instead of F),1,1,,,,,,,Göksel & Kerslake 2005,,,,
